Country,Continent,ISO_Code,Level,GDLCODE,Region,Year,GVI,fullsci,gini
Nigeria,Africa,NGA,Subnat,NGAr128,Osun,2021,59.5,42.8,0.21
Nigeria,Africa,NGA,Subnat,NGAr118,Oyo,2016,62.8,36.5,0.23
Nigeria,Africa,NGA,Subnat,NGAr118,Oyo,2021,61.6,37.3,0.26
Nigeria,Africa,NGA,Subnat,NGAr119,Plateau,2016,75.5,38.2,0.29
Nigeria,Africa,NGA,Subnat,NGAr119,Plateau,2021,73.2,43.3,0.31
Nigeria,Africa,NGA,Subnat,NGAr120,Rivers,2016,58.8,37.4,0.21
Nigeria,Africa,NGA,Subnat,NGAr120,Rivers,2021,58.1,36.5,0.21
Nigeria,Africa,NGA,Subnat,NGAr121,Sokoto,2016,89.8,40.4,0.33
Nigeria,Africa,NGA,Subnat,NGAr121,Sokoto,2021,84.3,52.4,0.4
Nigeria,Africa,NGA,Subnat,NGAr129,Taraba,2016,85.8,39.1,0.33
Nigeria,Africa,NGA,Subnat,NGAr129,Taraba,2021,81.9,51.6,0.31
Nigeria,Africa,NGA,Subnat,NGAr130,Yobe,2016,90.6,39.6,0.35
Nigeria,Africa,NGA,Subnat,NGAr130,Yobe,2021,87.2,46.2,0.34
Nigeria,Africa,NGA,Subnat,NGAr136,Zamfora,2016,90.5,36.8,0.35
Nigeria,Africa,NGA,Subnat,NGAr136,Zamfora,2021,86.5,51.3,0.27
